"","Iplant_Double","Month","Year","Transect_R","Hummingbird","Camera","Day","Bird","Plant","Yobs","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant","jCamera"
"39","Besleria solanoides",4,"2015","1900_2100","Fawn-breasted Brilliant","221",1,12,24,0,"2015-04-28","FH837",NA,0.445,0.0234004218667604,"Apr",7,2,221
"40","Besleria solanoides",4,"2015","2100_2300","Violet-tailed Sylph","174",1,14,24,1,"2015-04-08","FH637",2130,0.001,0.0208736157496924,"Apr",16,2,174
"41","Besleria solanoides",4,"2015","2100_2300","Green-fronted Lancebill","174",1,15,24,0,"2015-04-08","FH637",NA,1.636,0.0208736157496924,"Apr",10,2,174
"42","Besleria solanoides",4,"2015","2100_2300","Tawny-bellied Hermit","174",1,11,24,0,"2015-04-08","FH637",NA,2.44,0.0208736157496924,"Apr",15,2,174
"43","Besleria solanoides",6,"2014","1700_1900","Green-crowned Brilliant","135",1,10,24,0,"2014-06-04","FH518",NA,0.554,0.0175777816839515,"Jun",9,2,135
"44","Besleria solanoides",6,"2014","1700_1900","Booted Racket-tail","135",1,8,24,3,"2014-06-04","FH518",1870,0.331,0.0175777816839515,"Jun",2,2,135
"45","Besleria solanoides",6,"2014","1700_1900","Purple-bibbed Whitetip","135",1,7,24,0,"2014-06-04","FH518",NA,0.307,0.0175777816839515,"Jun",12,2,135
"46","Besleria solanoides",6,"2014","1700_1900","Wedge-billed Hummingbird","135",1,6,24,0,"2014-06-04","FH518",NA,0.233,0.0175777816839515,"Jun",17,2,135
"47","Besleria solanoides",6,"2014","1700_1900","Tawny-bellied Hermit","135",1,11,24,0,"2014-06-04","FH518",NA,2.44,0.0175777816839515,"Jun",15,2,135
"48","Besleria solanoides",6,"2015","2100_2300","Booted Racket-tail","43",1,8,24,1,"2015-06-09","FH1221",2130,0.331,0.0541615398136755,"Jun",2,2,43
"49","Besleria solanoides",6,"2015","2100_2300","Tawny-bellied Hermit","43",1,11,24,0,"2015-06-09","FH1221",NA,2.44,0.0541615398136755,"Jun",15,2,43
"50","Besleria solanoides",6,"2015","2100_2300","Green-fronted Lancebill","43",1,15,24,0,"2015-06-09","FH1221",NA,1.636,0.0541615398136755,"Jun",10,2,43
"51","Besleria solanoides",6,"2015","2100_2300","Violet-tailed Sylph","43",1,14,24,0,"2015-06-09","FH1221",NA,0.001,0.0541615398136755,"Jun",16,2,43
"52","Besleria solanoides",7,"2013","2100_2300","Booted Racket-tail","282",1,8,24,1,"2013-07-31","FL090",2110,0.331,0,NA,2,2,282
"53","Besleria solanoides",7,"2013","2100_2300","Green-fronted Lancebill","282",1,15,24,0,"2013-07-31","FL090",NA,1.636,0,NA,10,2,282
"54","Besleria solanoides",7,"2013","2100_2300","Tawny-bellied Hermit","282",1,11,24,0,"2013-07-31","FL090",NA,2.44,0,NA,15,2,282
"55","Besleria solanoides",7,"2013","2100_2300","Violet-tailed Sylph","282",1,14,24,0,"2013-07-31","FL090",NA,0.001,0,NA,16,2,282
"56","Besleria solanoides",8,"2013","2100_2300","Green-fronted Lancebill","286",3,15,24,0,"2013-08-05","FL094A",NA,1.636,1,"Aug",10,2,286
"57","Besleria solanoides",8,"2013","2100_2300","Green-fronted Lancebill","286",2,15,24,0,"2013-08-04","FL094A",NA,1.636,1,"Aug",10,2,286
"58","Besleria solanoides",8,"2013","2100_2300","Tawny-bellied Hermit","282",3,11,24,0,"2013-08-02","FL090",NA,2.44,1,"Aug",15,2,282
"59","Besleria solanoides",8,"2013","2100_2300","Tawny-bellied Hermit","286",1,11,24,0,"2013-08-03","FL094A",NA,2.44,1,"Aug",15,2,286
"60","Besleria solanoides",8,"2013","2100_2300","Booted Racket-tail","286",1,8,24,2,"2013-08-03","FL094A",2110,0.331,1,"Aug",2,2,286
"61","Besleria solanoides",8,"2013","2100_2300","Violet-tailed Sylph","282",2,14,24,0,"2013-08-01","FL090",NA,0.001,1,"Aug",16,2,282
"62","Besleria solanoides",8,"2013","2100_2300","Green-fronted Lancebill","282",2,15,24,0,"2013-08-01","FL090",NA,1.636,1,"Aug",10,2,282
"63","Besleria solanoides",8,"2013","2100_2300","Green-fronted Lancebill","282",3,15,24,0,"2013-08-02","FL090",NA,1.636,1,"Aug",10,2,282
"64","Besleria solanoides",8,"2013","2100_2300","Violet-tailed Sylph","282",3,14,24,0,"2013-08-02","FL090",NA,0.001,1,"Aug",16,2,282
"65","Besleria solanoides",8,"2013","2100_2300","Booted Racket-tail","282",3,8,24,3,"2013-08-02","FL090",2110,0.331,1,"Aug",2,2,282
"66","Besleria solanoides",8,"2013","2100_2300","Tawny-bellied Hermit","286",3,11,24,0,"2013-08-05","FL094A",NA,2.44,1,"Aug",15,2,286
"67","Besleria solanoides",8,"2013","2100_2300","Green-fronted Lancebill","286",1,15,24,0,"2013-08-03","FL094A",NA,1.636,1,"Aug",10,2,286
"68","Besleria solanoides",8,"2013","2100_2300","Booted Racket-tail","286",3,8,24,0,"2013-08-05","FL094A",NA,0.331,1,"Aug",2,2,286
"69","Besleria solanoides",8,"2013","2100_2300","Violet-tailed Sylph","286",1,14,24,0,"2013-08-03","FL094A",NA,0.001,1,"Aug",16,2,286
"70","Besleria solanoides",8,"2013","2100_2300","Tawny-bellied Hermit","286",2,11,24,0,"2013-08-04","FL094A",NA,2.44,1,"Aug",15,2,286
"71","Besleria solanoides",8,"2013","2100_2300","Booted Racket-tail","286",2,8,24,1,"2013-08-04","FL094A",2110,0.331,1,"Aug",2,2,286
"72","Besleria solanoides",8,"2013","2100_2300","Booted Racket-tail","282",2,8,24,3,"2013-08-01","FL090",2110,0.331,1,"Aug",2,2,282
"73","Besleria solanoides",8,"2013","2100_2300","Violet-tailed Sylph","286",3,14,24,1,"2013-08-05","FL094A",2110,0.001,1,"Aug",16,2,286
"74","Besleria solanoides",8,"2013","2100_2300","Tawny-bellied Hermit","282",2,11,24,0,"2013-08-01","FL090",NA,2.44,1,"Aug",15,2,282
"75","Besleria solanoides",8,"2013","2100_2300","Violet-tailed Sylph","286",2,14,24,2,"2013-08-04","FL094A",2110,0.001,1,"Aug",16,2,286
"76","Besleria solanoides",9,"2014","1900_2100","Wedge-billed Hummingbird","32",1,6,24,0,"2014-09-23","FH1204",NA,0.233,0.197750043944454,"Sep",17,2,32
"77","Besleria solanoides",9,"2014","1900_2100","Green-crowned Brilliant","230",1,10,24,0,"2014-09-10","FH905",NA,0.554,0.197750043944454,"Sep",9,2,230
"78","Besleria solanoides",9,"2014","1900_2100","Booted Racket-tail","230",1,8,24,1,"2014-09-10","FH905",1950,0.331,0.197750043944454,"Sep",2,2,230
"79","Besleria solanoides",9,"2014","1900_2100","Brown Inca","32",1,13,24,0,"2014-09-23","FH1204",NA,1.733,0.197750043944454,"Sep",3,2,32
"80","Besleria solanoides",9,"2014","1900_2100","Green-crowned Brilliant","32",1,10,24,0,"2014-09-23","FH1204",NA,0.554,0.197750043944454,"Sep",9,2,32
"81","Besleria solanoides",9,"2014","1900_2100","Brown Inca","230",1,13,24,0,"2014-09-10","FH905",NA,1.733,0.197750043944454,"Sep",3,2,230
"82","Besleria solanoides",9,"2014","1900_2100","Purple-bibbed Whitetip","32",1,7,24,0,"2014-09-23","FH1204",NA,0.307,0.197750043944454,"Sep",12,2,32
