"","Hummingbird","Iplant_Double","Camera","Bird","Plant","Day","Yobs","DateP","Transect_R","Month","Year","Traitmatch","All_Flowers","Used_Flowers","FlowerA","BAll_Flowers","UThresh","BUsed_Flowers","Thresh","BFlowerA","jBird","jPlant"
"38","Booted Racket-tail","Besleria solanoides","109",8,14,3,0,2013-10-22,"1700_1900",10,"2013",0.331,12012.3194444444,11676.3194444444,6781.61111111111,1,3851,1,323.5,1,1,1
"39","Booted Racket-tail","Besleria solanoides","122",8,14,1,4,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"40","Booted Racket-tail","Besleria solanoides","28",8,14,1,2,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"41","Booted Racket-tail","Besleria solanoides","266",8,14,2,1,2013-08-05,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"42","Booted Racket-tail","Besleria solanoides","266",8,14,2,1,2013-08-04,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"43","Booted Racket-tail","Besleria solanoides","266",8,14,3,1,2013-08-04,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"44","Booted Racket-tail","Besleria solanoides","265",8,14,2,1,2013-08-03,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"45","Booted Racket-tail","Besleria solanoides","263",8,14,1,1,2013-08-02,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"46","Booted Racket-tail","Besleria solanoides","263",8,14,1,1,2013-07-31,"2100_2300",7,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"47","Booted Racket-tail","Besleria solanoides","102",8,14,2,0,2014-12-02,"1900_2100",12,"2014",0.331,5234,4306.66666666667,3872,1,3851,1,323.5,1,1,1
"48","Booted Racket-tail","Besleria solanoides","28",8,14,2,0,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"49","Booted Racket-tail","Besleria solanoides","266",8,14,3,1,2013-08-03,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"50","Booted Racket-tail","Besleria solanoides","263",8,14,2,3,2013-08-01,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"51","Booted Racket-tail","Besleria solanoides","69",8,14,3,0,2014-11-19,"2100_2300",11,"2014",0.331,5186.33333333333,4537,3810.66666666667,1,3851,1,323.5,1,1,1
"52","Booted Racket-tail","Besleria solanoides","266",8,14,3,1,2013-08-05,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"53","Booted Racket-tail","Besleria solanoides","265",8,14,2,1,2013-08-05,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"54","Booted Racket-tail","Besleria solanoides","201",8,14,3,0,2014-09-10,"1900_2100",9,"2014",0.331,4232.5,3851,2318,1,3851,0,323.5,1,1,1
"55","Booted Racket-tail","Besleria solanoides","38",8,14,3,0,2015-06-09,"2100_2300",6,"2015",0.331,2040.5,1541.33333333333,402.666666666667,1,3851,0,323.5,1,1,1
"56","Booted Racket-tail","Besleria solanoides","265",8,14,2,1,2013-08-04,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"57","Booted Racket-tail","Besleria solanoides","102",8,14,3,0,2014-12-02,"1900_2100",12,"2014",0.331,5234,4306.66666666667,3872,1,3851,1,323.5,1,1,1
"58","Booted Racket-tail","Besleria solanoides","69",8,14,1,3,2014-11-19,"2100_2300",11,"2014",0.331,5186.33333333333,4537,3810.66666666667,1,3851,1,323.5,1,1,1
"59","Booted Racket-tail","Besleria solanoides","172",8,14,1,0,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"60","Booted Racket-tail","Besleria solanoides","263",8,14,1,1,2013-08-01,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"61","Booted Racket-tail","Besleria solanoides","265",8,14,2,1,2013-08-02,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"62","Booted Racket-tail","Besleria solanoides","27",8,14,1,0,2014-09-23,"1900_2100",9,"2014",0.331,5888.5,5514.83333333333,2672.33333333333,1,3851,1,323.5,1,1,1
"63","Booted Racket-tail","Besleria solanoides","263",8,14,3,3,2013-08-01,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"64","Booted Racket-tail","Besleria solanoides","265",8,14,1,2,2013-08-05,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"65","Booted Racket-tail","Besleria solanoides","263",8,14,3,3,2013-07-31,"2100_2300",7,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"66","Booted Racket-tail","Besleria solanoides","263",8,14,3,3,2013-08-02,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"67","Booted Racket-tail","Bomarea pardina","79",8,18,1,0,2013-11-19,"1900_2100",11,"2013",4.052,2116,1604.5,0,1,3851,0,323.5,0,1,3
"68","Booted Racket-tail","Bomarea pardina","79",8,18,2,0,2013-11-19,"1900_2100",11,"2013",4.052,2116,1604.5,0,1,3851,0,323.5,0,1,3
"69","Booted Racket-tail","Bomarea pardina","79",8,18,3,0,2013-11-19,"1900_2100",11,"2013",4.052,2116,1604.5,0,1,3851,0,323.5,0,1,3
"70","Booted Racket-tail","Centropogon solanifolius","319",8,32,2,0,2014-10-07,"1300_1500",10,"2014",3.856,232,89.5,0,1,3851,0,323.5,0,1,4
"71","Booted Racket-tail","Centropogon solanifolius","26",8,32,2,0,2014-07-22,"1700_1900",7,"2014",3.856,1915.5,1451,0,1,3851,0,323.5,0,1,4
"72","Booted Racket-tail","Centropogon solanifolius","4",8,32,2,0,2013-12-15,"1700_1900",12,"2013",3.856,1270.5,453,0,1,3851,0,323.5,0,1,4
"73","Booted Racket-tail","Centropogon solanifolius","25",8,32,2,0,2014-06-04,"1700_1900",6,"2014",3.856,1124,586,0,1,3851,0,323.5,0,1,4
"74","Booted Racket-tail","Centropogon solanifolius","299",8,32,3,0,2014-03-24,"1500_1700",3,"2014",3.856,547.5,114,0,1,3851,0,323.5,0,1,4
"75","Booted Racket-tail","Centropogon solanifolius","286",8,32,2,0,2014-01-19,"1500_1700",1,"2014",3.856,721.5,358,0,1,3851,0,323.5,0,1,4
"76","Booted Racket-tail","Centropogon solanifolius","26",8,32,3,0,2014-07-22,"1700_1900",7,"2014",3.856,1915.5,1451,0,1,3851,0,323.5,0,1,4
"77","Booted Racket-tail","Centropogon solanifolius","55",8,32,2,0,2015-10-07,"1900_2100",10,"2015",3.856,10101,9751.33333333333,0,1,3851,1,323.5,0,1,4
"78","Booted Racket-tail","Centropogon solanifolius","311",8,32,1,0,2014-07-06,"1300_1500",7,"2014",3.856,2539,1522,0,1,3851,0,323.5,0,1,4
"79","Booted Racket-tail","Centropogon solanifolius","297",8,32,1,0,2014-02-24,"1300_1500",2,"2014",3.856,337.666666666667,62.3333333333333,0,1,3851,0,323.5,0,1,4
"80","Booted Racket-tail","Centropogon solanifolius","319",8,32,1,0,2014-10-07,"1300_1500",10,"2014",3.856,232,89.5,0,1,3851,0,323.5,0,1,4
"81","Booted Racket-tail","Centropogon solanifolius","297",8,32,2,0,2014-02-23,"1300_1500",2,"2014",3.856,337.666666666667,62.3333333333333,0,1,3851,0,323.5,0,1,4
"82","Booted Racket-tail","Centropogon solanifolius","311",8,32,3,0,2014-07-06,"1300_1500",7,"2014",3.856,2539,1522,0,1,3851,0,323.5,0,1,4
"83","Booted Racket-tail","Centropogon solanifolius","286",8,32,1,0,2014-01-19,"1500_1700",1,"2014",3.856,721.5,358,0,1,3851,0,323.5,0,1,4
"84","Booted Racket-tail","Centropogon solanifolius","215",8,32,1,0,2013-06-06,"1500_1700",6,"2013",3.856,0,0,0,0,3851,0,323.5,0,1,4
"85","Booted Racket-tail","Centropogon solanifolius","59",8,32,3,0,2013-12-05,"1900_2100",12,"2013",3.856,1157.5,487,0,1,3851,0,323.5,0,1,4
"86","Booted Racket-tail","Centropogon solanifolius","319",8,32,3,0,2014-10-07,"1300_1500",10,"2014",3.856,232,89.5,0,1,3851,0,323.5,0,1,4
"87","Booted Racket-tail","Centropogon solanifolius","59",8,32,1,0,2013-12-05,"1900_2100",12,"2013",3.856,1157.5,487,0,1,3851,0,323.5,0,1,4
"88","Booted Racket-tail","Centropogon solanifolius","286",8,32,3,0,2014-01-19,"1500_1700",1,"2014",3.856,721.5,358,0,1,3851,0,323.5,0,1,4
"89","Booted Racket-tail","Centropogon solanifolius","4",8,32,1,0,2013-12-15,"1700_1900",12,"2013",3.856,1270.5,453,0,1,3851,0,323.5,0,1,4
"90","Booted Racket-tail","Centropogon solanifolius","59",8,32,2,0,2013-12-05,"1900_2100",12,"2013",3.856,1157.5,487,0,1,3851,0,323.5,0,1,4
"91","Booted Racket-tail","Centropogon solanifolius","297",8,32,3,0,2014-02-23,"1300_1500",2,"2014",3.856,337.666666666667,62.3333333333333,0,1,3851,0,323.5,0,1,4
"92","Booted Racket-tail","Centropogon solanifolius","299",8,32,1,0,2014-03-24,"1500_1700",3,"2014",3.856,547.5,114,0,1,3851,0,323.5,0,1,4
"93","Booted Racket-tail","Centropogon solanifolius","233",8,32,2,0,2013-07-05,"1500_1700",7,"2013",3.856,2609.94444444444,2182.33333333333,0,1,3851,0,323.5,0,1,4
"94","Booted Racket-tail","Centropogon solanifolius","233",8,32,2,0,2013-07-04,"1500_1700",7,"2013",3.856,1767.27777777778,1565.66666666667,0,1,3851,0,323.5,0,1,4
"95","Booted Racket-tail","Centropogon solanifolius","297",8,32,3,0,2014-02-24,"1300_1500",2,"2014",3.856,337.666666666667,62.3333333333333,0,1,3851,0,323.5,0,1,4
"96","Booted Racket-tail","Centropogon solanifolius","215",8,32,2,0,2013-06-06,"1500_1700",6,"2013",3.856,0,0,0,0,3851,0,323.5,0,1,4
"97","Booted Racket-tail","Centropogon solanifolius","297",8,32,2,0,2014-02-24,"1300_1500",2,"2014",3.856,337.666666666667,62.3333333333333,0,1,3851,0,323.5,0,1,4
"98","Booted Racket-tail","Centropogon solanifolius","286",8,32,2,0,2014-01-18,"1500_1700",1,"2014",3.856,721.5,358,0,1,3851,0,323.5,0,1,4
"99","Booted Racket-tail","Centropogon solanifolius","311",8,32,2,0,2014-07-06,"1300_1500",7,"2014",3.856,2539,1522,0,1,3851,0,323.5,0,1,4
"100","Booted Racket-tail","Centropogon solanifolius","233",8,32,3,0,2013-07-05,"1500_1700",7,"2013",3.856,2609.94444444444,2182.33333333333,0,1,3851,0,323.5,0,1,4
"101","Booted Racket-tail","Centropogon solanifolius","233",8,32,1,0,2013-07-04,"1500_1700",7,"2013",3.856,1767.27777777778,1565.66666666667,0,1,3851,0,323.5,0,1,4
"102","Booted Racket-tail","Centropogon solanifolius","25",8,32,3,0,2014-06-04,"1700_1900",6,"2014",3.856,1124,586,0,1,3851,0,323.5,0,1,4
"103","Booted Racket-tail","Centropogon solanifolius","177",8,32,2,0,2013-10-22,"1700_1900",10,"2013",3.856,12012.3194444444,11676.3194444444,0,1,3851,1,323.5,0,1,4
"104","Booted Racket-tail","Centropogon solanifolius","297",8,32,1,0,2014-02-23,"1300_1500",2,"2014",3.856,337.666666666667,62.3333333333333,0,1,3851,0,323.5,0,1,4
"105","Booted Racket-tail","Centropogon solanifolius","177",8,32,3,0,2013-10-22,"1700_1900",10,"2013",3.856,12012.3194444444,11676.3194444444,0,1,3851,1,323.5,0,1,4
"106","Booted Racket-tail","Centropogon solanifolius","300",8,32,1,0,2014-03-29,"1500_1700",3,"2014",3.856,558.5,112,0,1,3851,0,323.5,0,1,4
"107","Booted Racket-tail","Centropogon solanifolius","300",8,32,3,0,2014-03-29,"1500_1700",3,"2014",3.856,558.5,112,0,1,3851,0,323.5,0,1,4
"108","Booted Racket-tail","Centropogon solanifolius","299",8,32,2,0,2014-03-24,"1500_1700",3,"2014",3.856,547.5,114,0,1,3851,0,323.5,0,1,4
"109","Booted Racket-tail","Centropogon solanifolius","300",8,32,2,0,2014-03-29,"1500_1700",3,"2014",3.856,558.5,112,0,1,3851,0,323.5,0,1,4
"110","Booted Racket-tail","Centropogon solanifolius","25",8,32,1,0,2014-06-04,"1700_1900",6,"2014",3.856,1124,586,0,1,3851,0,323.5,0,1,4
"111","Booted Racket-tail","Centropogon solanifolius","233",8,32,1,0,2013-07-05,"1500_1700",7,"2013",3.856,2609.94444444444,2182.33333333333,0,1,3851,0,323.5,0,1,4
"112","Booted Racket-tail","Centropogon solanifolius","26",8,32,1,0,2014-07-22,"1700_1900",7,"2014",3.856,1915.5,1451,0,1,3851,0,323.5,0,1,4
"113","Booted Racket-tail","Centropogon solanifolius","4",8,32,3,0,2013-12-15,"1700_1900",12,"2013",3.856,1270.5,453,0,1,3851,0,323.5,0,1,4
"114","Booted Racket-tail","Centropogon solanifolius","55",8,32,3,0,2015-10-07,"1900_2100",10,"2015",3.856,10101,9751.33333333333,0,1,3851,1,323.5,0,1,4
"115","Booted Racket-tail","Centropogon solanifolius","55",8,32,1,0,2015-10-07,"1900_2100",10,"2015",3.856,10101,9751.33333333333,0,1,3851,1,323.5,0,1,4
"116","Booted Racket-tail","Centropogon solanifolius","233",8,32,3,0,2013-07-04,"1500_1700",7,"2013",3.856,1767.27777777778,1565.66666666667,0,1,3851,0,323.5,0,1,4
"117","Booted Racket-tail","Centropogon solanifolius","215",8,32,3,0,2013-06-06,"1500_1700",6,"2013",3.856,0,0,0,0,3851,0,323.5,0,1,4
"118","Booted Racket-tail","Centropogon solanifolius","286",8,32,3,0,2014-01-18,"1500_1700",1,"2014",3.856,721.5,358,0,1,3851,0,323.5,0,1,4
"119","Booted Racket-tail","Centropogon solanifolius","177",8,32,1,0,2013-10-22,"1700_1900",10,"2013",3.856,12012.3194444444,11676.3194444444,0,1,3851,1,323.5,0,1,4
"120","Booted Racket-tail","Centropogon solanifolius","286",8,32,1,0,2014-01-18,"1500_1700",1,"2014",3.856,721.5,358,0,1,3851,0,323.5,0,1,4
"121","Booted Racket-tail","Columnea ciliata","283",8,35,2,0,2013-12-22,"1500_1700",12,"2013",3.53,1130,439.5,0,1,3851,0,323.5,0,1,5
"122","Booted Racket-tail","Columnea ciliata","114",8,35,3,0,2014-01-01,"1700_1900",1,"2014",3.53,962,132.5,0,1,3851,0,323.5,0,1,5
"123","Booted Racket-tail","Columnea ciliata","114",8,35,3,0,2014-01-21,"1700_1900",1,"2014",3.53,682,126,0,1,3851,0,323.5,0,1,5
"124","Booted Racket-tail","Columnea ciliata","114",8,35,3,0,2014-01-08,"1700_1900",1,"2014",3.53,685.5,156,0,1,3851,0,323.5,0,1,5
"125","Booted Racket-tail","Columnea ciliata","283",8,35,1,0,2013-12-21,"1500_1700",12,"2013",3.53,1130,439.5,0,1,3851,0,323.5,0,1,5
"126","Booted Racket-tail","Columnea ciliata","114",8,35,1,0,2014-01-21,"1700_1900",1,"2014",3.53,682,126,0,1,3851,0,323.5,0,1,5
"127","Booted Racket-tail","Columnea ciliata","116",8,35,3,0,2014-03-11,"1700_1900",3,"2014",3.53,605.666666666667,28.6666666666667,0,1,3851,0,323.5,0,1,5
"128","Booted Racket-tail","Columnea ciliata","114",8,35,1,0,2014-01-01,"1700_1900",1,"2014",3.53,962,132.5,0,1,3851,0,323.5,0,1,5
"129","Booted Racket-tail","Columnea ciliata","308",8,35,1,0,2014-07-09,"1300_1500",7,"2014",3.53,2539,1522,0,1,3851,0,323.5,0,1,5
"130","Booted Racket-tail","Columnea ciliata","292",8,35,3,0,2014-02-15,"1500_1700",2,"2014",3.53,605,82.5,0,1,3851,0,323.5,0,1,5
"131","Booted Racket-tail","Columnea ciliata","114",8,35,2,0,2014-01-01,"1700_1900",1,"2014",3.53,962,132.5,0,1,3851,0,323.5,0,1,5
"132","Booted Racket-tail","Columnea ciliata","308",8,35,3,0,2014-07-09,"1300_1500",7,"2014",3.53,2539,1522,0,1,3851,0,323.5,0,1,5
"133","Booted Racket-tail","Columnea ciliata","292",8,35,1,0,2014-02-15,"1500_1700",2,"2014",3.53,605,82.5,0,1,3851,0,323.5,0,1,5
"134","Booted Racket-tail","Columnea ciliata","114",8,35,1,0,2014-01-08,"1700_1900",1,"2014",3.53,685.5,156,0,1,3851,0,323.5,0,1,5
"135","Booted Racket-tail","Columnea ciliata","308",8,35,3,0,2014-07-06,"1300_1500",7,"2014",3.53,2539,1522,0,1,3851,0,323.5,0,1,5
"136","Booted Racket-tail","Columnea ciliata","308",8,35,1,0,2014-07-06,"1300_1500",7,"2014",3.53,2539,1522,0,1,3851,0,323.5,0,1,5
"137","Booted Racket-tail","Columnea ciliata","164",8,35,2,0,2014-01-21,"1900_2100",1,"2014",3.53,770.5,64,0,1,3851,0,323.5,0,1,5
"138","Booted Racket-tail","Columnea ciliata","283",8,35,3,0,2013-12-21,"1500_1700",12,"2013",3.53,1130,439.5,0,1,3851,0,323.5,0,1,5
"139","Booted Racket-tail","Columnea ciliata","164",8,35,3,0,2014-01-21,"1900_2100",1,"2014",3.53,770.5,64,0,1,3851,0,323.5,0,1,5
"140","Booted Racket-tail","Columnea ciliata","114",8,35,2,0,2014-01-21,"1700_1900",1,"2014",3.53,682,126,0,1,3851,0,323.5,0,1,5
"141","Booted Racket-tail","Columnea ciliata","114",8,35,2,0,2014-01-08,"1700_1900",1,"2014",3.53,685.5,156,0,1,3851,0,323.5,0,1,5
"142","Booted Racket-tail","Columnea ciliata","164",8,35,1,0,2014-01-21,"1900_2100",1,"2014",3.53,770.5,64,0,1,3851,0,323.5,0,1,5
"143","Booted Racket-tail","Columnea ciliata","116",8,35,1,0,2014-03-11,"1700_1900",3,"2014",3.53,605.666666666667,28.6666666666667,0,1,3851,0,323.5,0,1,5
"144","Booted Racket-tail","Columnea ciliata","116",8,35,2,0,2014-03-11,"1700_1900",3,"2014",3.53,605.666666666667,28.6666666666667,0,1,3851,0,323.5,0,1,5
"145","Booted Racket-tail","Columnea ciliata","6",8,35,2,0,2014-01-08,"1700_1900",1,"2014",3.53,685.5,156,0,1,3851,0,323.5,0,1,5
"146","Booted Racket-tail","Columnea ciliata","283",8,35,1,0,2013-12-22,"1500_1700",12,"2013",3.53,1130,439.5,0,1,3851,0,323.5,0,1,5
"147","Booted Racket-tail","Columnea ciliata","283",8,35,3,0,2013-12-22,"1500_1700",12,"2013",3.53,1130,439.5,0,1,3851,0,323.5,0,1,5
"148","Booted Racket-tail","Columnea ciliata","6",8,35,3,0,2014-01-08,"1700_1900",1,"2014",3.53,685.5,156,0,1,3851,0,323.5,0,1,5
"149","Booted Racket-tail","Columnea ciliata","283",8,35,2,0,2013-12-21,"1500_1700",12,"2013",3.53,1130,439.5,0,1,3851,0,323.5,0,1,5
"150","Booted Racket-tail","Columnea ciliata","308",8,35,2,0,2014-07-06,"1300_1500",7,"2014",3.53,2539,1522,0,1,3851,0,323.5,0,1,5
"151","Booted Racket-tail","Columnea ciliata","6",8,35,1,0,2014-01-08,"1700_1900",1,"2014",3.53,685.5,156,0,1,3851,0,323.5,0,1,5
"152","Booted Racket-tail","Columnea ciliata","308",8,35,2,0,2014-07-09,"1300_1500",7,"2014",3.53,2539,1522,0,1,3851,0,323.5,0,1,5
"153","Booted Racket-tail","Columnea ciliata","292",8,35,2,0,2014-02-15,"1500_1700",2,"2014",3.53,605,82.5,0,1,3851,0,323.5,0,1,5
"154","Booted Racket-tail","Columnea kucyniakii","89",8,38,3,0,2014-01-21,"1900_2100",1,"2014",2.618,770.5,64,0,1,3851,0,323.5,0,1,6
"155","Booted Racket-tail","Columnea kucyniakii","293",8,38,1,0,2014-02-15,"1500_1700",2,"2014",2.618,605,82.5,0,1,3851,0,323.5,0,1,6
"156","Booted Racket-tail","Columnea kucyniakii","7",8,38,3,0,2014-01-28,"1700_1900",1,"2014",2.618,612.5,137,0,1,3851,0,323.5,0,1,6
"157","Booted Racket-tail","Columnea kucyniakii","293",8,38,1,0,2014-02-16,"1500_1700",2,"2014",2.618,605,82.5,0,1,3851,0,323.5,0,1,6
"158","Booted Racket-tail","Columnea kucyniakii","293",8,38,2,0,2014-02-16,"1500_1700",2,"2014",2.618,605,82.5,0,1,3851,0,323.5,0,1,6
"159","Booted Racket-tail","Columnea kucyniakii","293",8,38,3,0,2014-02-16,"1500_1700",2,"2014",2.618,605,82.5,0,1,3851,0,323.5,0,1,6
"160","Booted Racket-tail","Columnea kucyniakii","7",8,38,1,0,2014-01-28,"1700_1900",1,"2014",2.618,612.5,137,0,1,3851,0,323.5,0,1,6
