"MorphID","SpID","Sex","N","ExpC","Peso","Acom","TotC","AlCdo","PrfP","AlAnc","AlLgo","Rasp","Rform","WiLo","Wtap","AlArea","ColaL","PataE","TarsL","UnaL","PsoSD","ExpCSD","AcomSD","TotCSD","AlCdoSD","PrfPSD","AlAncSD","AlLgoSD","RaspSD","RformSD","WiLoSD","WtapSD","AlAreaSD","ColaLSD","PataESD","TarsLSD","UnaLSD","ReferenceID","LocalityID","MuseumID","Notes","Subspeciesname","spname"
30,102,"Macho",15,15.68,2.84,4.66,17.72,46.52,1.8,16.34,51.6,7.23,3.15,0.19,0.14,7.37,28.6,8.45,4.36,2.24,0.21,0.96,0.16,1.05,1.14,0.19,0.63,1.78,0.21,0.08,0.00897774484502398,0.03,0.46,1.71,0.47,0.22,0.16,183,598,1,"",NA,"Chlorostilbon.gibsoni"
31,101,"Macho",8,13.81,2.68,4.46,15.57,46.11,1.62,15.78,51.28,7.76,3.24,0.19,0.19,6.78,25.56,8.51,4.41,2.31,0.06,0.39,0.2,0.85,0.76,0.13,0.57,1.64,0.29,0.07,0.01,0.02,0.4,1.23,0.19,0.11,0.12,183,598,1,"",NA,"Chlorostilbon.melanorhynchus"
32,103,"Macho",10,15.03,2.61,4.6,16.57,44.2,1.67,15.02,48.51,7.28,3.23,0.2,0.12,6.47,21.67,8.59,4.33,1.99,0.08,0.73,0.08,0.47,1,0.11,0.63,1.25,0.27,0.1,0.01,0.03,0.47,1.49,0.22,0.09,0.16,183,598,1,"",NA,"Chlorostilbon.mellisugus"
33,104,"Macho",3,19.73,3.68,4.9,21.5,49.83,2,17,53.8,7.43,3.16,0.23,0.17,7.79,25.26,9.5,4.46,2.3,0.1,0.45,0.1,0.26,1.06,0.17,0.17,0.4,0.15,0.01,0.01,0.02,0.27,0.2,0.19,0.11,0.1,183,598,1,"",NA,"Chlorostilbon.olivaresi"
34,109,"Macho",11,17.26,2.94,4.87,19.21,43.12,1.68,15.08,48.36,7.55,3.21,0.23,0.17,6.2,22.05,8.72,4.51,2.22,0.18,0.98,0.13,1.08,0.87,0.09,0.62,1.38,0.29,0.12,0.01,0.01,0.33,0.89,0.34,0.15,0.11,183,598,1,"",NA,"Chlorostilbon.poortmani"
35,111,"Macho",3,20.16,4.75,5.56,22.56,52.96,2,19.03,59.5,7.47,3.12,0.24,0.19,9.47,29.9,10.66,5.11,2.73,0.07,0.56,0.15,0.66,0.7,0.17,0.35,0.52,0.09,0.03,0.00604988411753021,0.01,0.22,1.41,0.28,0.12,0.15,183,598,1,"",NA,"Chrysuronia.oenone"
36,111,"Macho",12,21.11,4.75,5.75,23.49,53.85,2.11,18.8,59.8,7.59,3.18,0.25,0.19,9.42,30.44,10.58,5.07,2.83,0.15,0.67,0.32,0.69,1.03,0.12,0.79,1.2,0.26,0.1,0.01,0.03,0.49,1.01,0.47,0.16,0.12,183,598,1,"",NA,"Chrysuronia.oenone"
37,92,"Macho",1,17.9,3.8,5,20.2,49.4,1.8,17.9,56.2,7.92,3.13,0.23,0.26,7.97,30,9.6,4.7,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Chlorestes.notata"
38,82,"Macho",1,13.2,2.25,4,15.1,30.2,1.3,10.4,32,7.26,3.07,0.39,0.18,2.82,21,7.7,3.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Chaetocercus.astreans"
39,81,"Macho",1,12.6,2.5,4.2,14,31.3,1.25,10.6,34.6,7.35,3.26,0.38,0.12,3.25,20.7,8.3,4.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Chaetocercus.heliodor"
